iter	Passed	Remaining
416	2846	3980
417	2853	3973
418	2860	3966
419	2869	3962
420	2877	3957
421	2884	3951
422	2893	3946
423	2901	3941
424	2909	3935
425	2915	3928
426	2922	3921
427	2929	3914
428	2935	3907
429	2942	3900
430	2949	3893
431	2955	3886
432	2962	3879
433	2969	3872
434	2975	3864
435	2982	3857
436	2988	3850
437	2995	3843
438	3002	3836
439	3008	3829
440	3015	3821
441	3021	3815
442	3030	3809
443	3036	3802
444	3043	3796
445	3050	3788
446	3057	3782
447	3063	3775
448	3070	3768
449	3077	3761
450	3083	3753
451	3090	3746
452	3097	3739
453	3105	3734
454	3112	3727
455	3118	3720
456	3125	3713
457	3132	3707
458	3139	3699
459	3145	3692
460	3152	3685
461	3158	3678
462	3165	3671
463	3172	3664
464	3179	3658
465	3186	3651
466	3192	3644
467	3199	3637
468	3206	3630
469	3213	3623
470	3220	3616
471	3227	3610
472	3236	3605
473	3242	3598
474	3249	3591
475	3256	3584
476	3263	3577
477	3270	3571
478	3277	3564
479	3284	3557
480	3290	3550
481	3297	3543
482	3304	3536
483	3311	3530
484	3319	3524
485	3326	3518
486	3333	3511
487	3340	3505
488	3347	3498
489	3354	3491
490	3361	3484
491	3367	3477
492	3374	3470
493	3380	3463
494	3387	3456
495	3394	3449
496	3401	3442
497	3408	3435
498	3415	3428
499	3422	3422
500	3429	3415
501	3437	3409
502	3444	3403
503	3451	3396
504	3458	3389
505	3465	3383
506	3472	3376
507	3478	3369
508	3485	3362
509	3492	3355
510	3499	3348
511	3505	3341
512	3512	3334
513	3519	3327
514	3527	3321
515	3535	3316
516	3542	3309
517	3549	3302
518	3556	3295
519	3562	3288
520	3570	3282
521	3577	3275
522	3584	3269
523	3591	3262
524	3598	3255
525	3605	3248
526	3611	3241
527	3618	3234
528	3625	3227
529	3632	3221
530	3640	3215
531	3647	3208
532	3653	3201
533	3660	3194
534	3667	3187
535	3674	3180
536	3681	3174
537	3687	3166
538	3694	3159
539	3701	3152
540	3707	3145
541	3714	3138
542	3720	3131
543	3727	3124
544	3734	3117
545	3742	3111
546	3748	3104
547	3755	3097
548	3762	3090
549	3769	3083
550	3775	3076
551	3782	3069
552	3789	3062
553	3795	3055
554	3802	3048
555	3809	3042
556	3816	3035
557	3822	3028
558	3829	3021
559	3836	3014
560	3843	3008
561	3851	3001
562	3858	2994
563	3864	2987
564	3871	2980
565	3878	2974
566	3886	2967
567	3894	2961
568	3901	2955
569	3909	2949
570	3917	2943
571	3923	2936
572	3930	2929
573	3937	2922
574	3943	2914
575	3950	2908
576	3957	2901
577	3964	2894
578	3970	2887
579	3977	2879
580	3983	2872
581	3989	2865
582	3996	2858
583	4002	2851
584	4009	2844
585	4015	2836
586	4022	2830
587	4028	2823
588	4035	2816
589	4042	2809
590	4051	2803
591	4058	2797
592	4065	2790
593	4072	2783
594	4078	2776
595	4085	2769
596	4092	2762
597	4099	2755
598	4105	2748
599	4112	2741
600	4119	2734
601	4126	2727
602	4132	2720
603	4139	2713
604	4146	2706
605	4152	2699
606	4159	2693
607	4166	2686
608	4172	2679
609	4179	2672
610	4186	2665
611	4193	2658
612	4200	2651
613	4206	2644
614	4213	2637
615	4220	2631
616	4227	2624
617	4234	2617
618	4240	2610
619	4248	2603
620	4255	2597
621	4262	2590
622	4269	2583
623	4277	2577
624	4283	2570
625	4290	2563
626	4297	2556
627	4304	2549
628	4311	2543
629	4318	2536
630	4324	2529
631	4331	2522
632	4338	2515
633	4344	2508
634	4351	2501
635	4358	2494
636	4365	2487
637	4372	2480
638	4378	2473
639	4386	2467
640	4392	2460
641	4399	2453
642	4405	2446
643	4412	2438
644	4418	2431
645	4424	2424
646	4431	2417
647	4438	2410
648	4446	2404
649	4454	2398
650	4460	2391
651	4467	2384
652	4474	2377
653	4481	2370
654	4488	2364
655	4495	2357
656	4502	2350
657	4508	2343
658	4515	2336
659	4522	2329
660	4528	2322
661	4535	2315
662	4542	2308
663	4549	2302
664	4557	2295
665	4563	2288
666	4570	2281
667	4576	2274
668	4583	2267
669	4589	2260
670	4596	2253
671	4602	2246
672	4608	2239
673	4614	2232
674	4621	2225
675	4628	2218
676	4635	2211
677	4642	2205
678	4650	2198
679	4656	2191
680	4664	2184
681	4670	2177
682	4677	2170
683	4684	2164
684	4691	2157
685	4699	2150
686	4705	2143
687	4712	2137
688	4719	2130
689	4725	2123
690	4732	2116
691	4739	2109
692	4745	2102
693	4752	2095
694	4759	2088
695	4765	2081
696	4772	2074
697	4779	2067
698	4786	2061
699	4793	2054
700	4799	2047
701	4807	2040
702	4814	2033
703	4821	2027
704	4827	2020
705	4834	2013
706	4841	2006
707	4850	2000
708	4857	1993
709	4864	1986
710	4872	1980
711	4879	1973
712	4886	1967
713	4894	1960
714	4902	1954
715	4910	1947
716	4918	1941
717	4926	1934
718	4933	1928
719	4940	1921
720	4947	1914
721	4953	1907
722	4960	1900
723	4967	1893
724	4973	1886
725	4980	1879
726	4987	1872
727	4993	1865
728	5000	1858
729	5006	1851
730	5013	1844
731	5019	1837
732	5026	1830
733	5032	1823
734	5039	1816
735	5045	1809
736	5054	1803
737	5060	1796
738	5067	1789
739	5074	1782
740	5081	1776
741	5088	1769
742	5095	1762
743	5101	1755
744	5108	1748
745	5116	1742
746	5123	1735
747	5129	1728
748	5136	1721
749	5143	1714
750	5150	1707
751	5157	1700
752	5164	1694
753	5171	1687
754	5178	1680
755	5185	1673
756	5192	1666
757	5198	1659
758	5205	1652
759	5212	1645
760	5219	1639
761	5225	1632
762	5232	1625
763	5239	1618
764	5245	1611
765	5254	1605
766	5261	1598
767	5267	1591
768	5274	1584
769	5281	1577
770	5288	1570
771	5295	1563
772	5302	1557
773	5308	1550
774	5315	1543
775	5322	1536
776	5329	1529
777	5336	1522
778	5342	1515
779	5349	1508
780	5356	1502
781	5363	1495
782	5370	1488
783	5376	1481
784	5383	1474
785	5390	1467
786	5397	1460
787	5404	1453
788	5410	1447
789	5417	1440
790	5424	1433
791	5431	1426
792	5437	1419
793	5444	1412
794	5451	1405
795	5459	1399
796	5466	1392
797	5473	1385
798	5480	1378
799	5487	1371
800	5494	1365
801	5501	1358
802	5508	1351
803	5515	1344
804	5522	1337
805	5529	1330
806	5537	1324
807	5544	1317
808	5551	1310
809	5558	1303
810	5565	1296
811	5572	1290
812	5579	1283
813	5585	1276
814	5592	1269
815	5599	1262
816	5606	1255
817	5612	1248
818	5619	1241
819	5626	1235
820	5633	1228
821	5639	1221
822	5646	1214
823	5653	1207
824	5659	1200
825	5668	1194
826	5675	1187
827	5681	1180
828	5688	1173
829	5695	1166
830	5702	1159
831	5709	1152
832	5715	1145
833	5722	1138
834	5729	1132
835	5735	1125
836	5742	1118
837	5750	1111
838	5758	1105
839	5764	1097
840	5771	1091
841	5779	1084
842	5785	1077
843	5792	1070
844	5799	1063
845	5805	1056
846	5812	1049
847	5819	1043
848	5826	1036
849	5833	1029
850	5839	1022
851	5846	1015
852	5853	1008
853	5860	1001
854	5864	994
855	5873	988
856	5879	981
857	5886	974
858	5893	967
859	5901	960
860	5908	953
861	5915	947
862	5923	940
863	5931	933
864	5940	927
865	5948	920
866	5955	913
867	5962	906
868	5969	899
869	5975	892
870	5981	885
871	5988	879
872	5994	872
873	6001	865
874	6008	858
875	6014	851
876	6018	844
877	6025	837
878	6031	830
879	6038	823
880	6044	816
881	6051	809
882	6057	802
883	6064	795
884	6070	788
885	6079	782
886	6086	775
887	6092	768
888	6099	761
889	6105	754
890	6112	747
891	6118	740
892	6125	733
893	6131	727
894	6139	720
895	6146	713
896	6152	706
897	6159	699
898	6165	692
899	6173	685
900	6180	679
901	6186	672
902	6193	665
903	6200	658
904	6206	651
905	6213	644
906	6220	637
907	6226	630
908	6233	623
909	6239	617
910	6245	610
911	6252	603
912	6259	596
913	6265	589
914	6273	582
915	6281	575
916	6287	569
917	6293	562
918	6300	555
919	6307	548
920	6313	541
921	6320	534
922	6327	527
923	6333	520
924	6340	514
925	6347	507
926	6353	500
927	6360	493
928	6367	486
929	6374	479
930	6381	472
931	6388	466
932	6395	459
933	6402	452
934	6409	445
935	6416	438
936	6423	431
937	6430	425
938	6438	418
939	6444	411
940	6451	404
941	6458	397
942	6465	390
943	6474	384
944	6481	377
945	6488	370
946	6495	363
947	6503	356
948	6509	349
949	6516	342
950	6523	336
951	6530	329
952	6537	322
953	6543	315
954	6550	308
955	6556	301
956	6563	294
957	6570	288
958	6578	281
959	6584	274
960	6591	267
961	6598	260
962	6605	253
963	6612	246
964	6618	240
965	6625	233
966	6632	226
967	6639	219
968	6646	212
969	6653	205
970	6660	198
971	6667	192
972	6676	185
973	6683	178
974	6689	171
975	6695	164
976	6702	157
977	6709	150
978	6716	144
979	6723	137
980	6730	130
981	6737	123
982	6744	116
983	6750	109
984	6757	102
985	6764	96
986	6770	89
987	6777	82
988	6784	75
989	6791	68
990	6798	61
991	6805	54
992	6812	48
993	6819	41
994	6825	34
995	6832	27
996	6839	20
997	6846	13
998	6853	6
999	6859	0
